Instance_ID,Method,Time,Size,Fold
25,Majoritary (SAT),0.02703571319580078,10,4
25,Majoritary (SMT),0.8989989757537842,12,4
25,Sufficient (SAT),0.33196330070495605,8,4
25,Sufficient (SMT),0.984001874923706,6,4
26,Direct,0.0,53,4
26,Majoritary (SAT),0.024995803833007812,8,4
26,Majoritary (SMT),0.8620364665985107,13,4
26,Sufficient (SAT),0.4150056838989258,13,4
26,Sufficient (SMT),1.095963954925537,3,4
29,Direct,0.0009984970092773438,53,4
29,Majoritary (SAT),0.039998769760131836,10,4
29,Majoritary (SMT),0.8850343227386475,11,4
29,Sufficient (SAT),0.3249664306640625,8,4
29,Sufficient (SMT),1.0280332565307617,5,4
36,Direct,0.0009999275207519531,52,4
36,Majoritary (SAT),0.03500056266784668,10,4
36,Majoritary (SMT),0.8419668674468994,11,4
36,Sufficient (SAT),0.3119957447052002,9,4
36,Sufficient (SMT),1.090038776397705,4,4
66,Direct,0.001001596450805664,51,4
66,Majoritary (SAT),0.02599954605102539,7,4
66,Majoritary (SMT),0.8449654579162598,13,4
66,Sufficient (SAT),0.41703367233276367,13,4
66,Sufficient (SMT),1.22196364402771,5,4
79,Direct,0.0020363330841064453,63,4
79,Majoritary (SAT),0.032968997955322266,9,4
79,Majoritary (SMT),0.9080302715301514,12,4
79,Sufficient (SAT),0.3009657859802246,11,4
79,Sufficient (SMT),0.9609973430633545,10,4
80,Direct,0.0010006427764892578,51,4
80,Majoritary (SAT),0.029040813446044922,9,4
80,Majoritary (SMT),0.8859963417053223,13,4
80,Sufficient (SAT),0.4029991626739502,13,4
80,Sufficient (SMT),1.0289990901947021,5,4
93,Direct,0.0,61,4
93,Majoritary (SAT),0.028001785278320312,9,4
93,Majoritary (SMT),0.844001293182373,11,4
93,Sufficient (SAT),0.320995569229126,10,4
93,Sufficient (SMT),1.0379693508148193,4,4
96,Direct,0.0010342597961425781,60,4
96,Majoritary (SAT),0.025964736938476562,10,4
96,Majoritary (SMT),0.8650350570678711,13,4
96,Sufficient (SAT),0.34400510787963867,13,4
96,Sufficient (SMT),1.035996437072754,7,4
98,Direct,0.001031637191772461,62,4
98,Majoritary (SAT),0.034002065658569336,12,4
98,Majoritary (SMT),0.9499638080596924,12,4
98,Sufficient (SAT),0.3240375518798828,10,4
98,Sufficient (SMT),1.003002643585205,3,4
105,Direct,0.0009946823120117188,67,4
105,Majoritary (SAT),0.023962736129760742,8,4
105,Majoritary (SMT),0.8580398559570312,12,4
105,Sufficient (SAT),0.350996732711792,9,4
105,Sufficient (SMT),1.0469982624053955,5,4
134,Direct,0.0009992122650146484,56,4
134,Majoritary (SAT),0.02696681022644043,10,4
134,Majoritary (SMT),0.8750357627868652,13,4
134,Sufficient (SAT),0.40796446800231934,13,4
134,Sufficient (SMT),1.0920357704162598,4,4
141,Direct,0.0010001659393310547,55,4
141,Majoritary (SAT),0.03500723838806152,9,4
141,Majoritary (SMT),0.8999927043914795,12,4
141,Sufficient (SAT),0.2879619598388672,10,4
141,Sufficient (SMT),0.9150388240814209,8,4
142,Direct,0.0010039806365966797,57,4
142,Majoritary (SAT),0.027994155883789062,7,4
142,Majoritary (SMT),0.7939984798431396,13,4
142,Sufficient (SAT),0.3580002784729004,13,4
142,Sufficient (SMT),1.1300084590911865,4,4
145,Direct,0.0009987354278564453,70,4
145,Majoritary (SAT),0.020000934600830078,5,4
145,Majoritary (SMT),0.7959623336791992,13,4
145,Sufficient (SAT),0.3844795227050781,13,4
145,Sufficient (SMT),1.0979993343353271,4,4
159,Direct,0.0009987354278564453,51,4
159,Majoritary (SAT),0.02901434898376465,9,4
159,Majoritary (SMT),0.9719486236572266,11,4
159,Sufficient (SAT),0.3120381832122803,11,4
159,Sufficient (SMT),0.9960036277770996,5,4
162,Direct,0.0009670257568359375,48,4
162,Majoritary (SAT),0.0230252742767334,8,4
162,Majoritary (SMT),0.8260116577148438,13,4
162,Sufficient (SAT),0.3979971408843994,13,4
162,Sufficient (SMT),1.0659675598144531,7,4
176,Direct,0.0,44,4
